Acronym,Term,Category
PACE,Program for All Inclusive Care for the Elderly,Health Care
PACEMKR,Pacemaker System,Health Care
PACS,Patient Care & Services,Health Care
PAG,Policy Advisory Group,Health Care
PAHP,Prepaid Ambulatory Health Plan,Health Care
PAL,Patient Accounting Language (IBM software),Health Care
PAL,Provider Audit List,Health Care
PARD,Provider Audit & Reimbursement Department,Health Care
PARL,Physician/Supplier Assignment Rate List,Health Care
PART A,Medicare Hospital Insurance,Health Care
PART B,Medicare Supplementary Medical Insurance,Health Care
PAS,Premium Accrual Stop,Health Care
PASARR,Preadmission Screening & Annual Resident Review,Health Care
PAYERID,Payer Identification (national provider identifier initiative),Health Care
PBA,Part B Advisory,Health Care
PBC,Premium Billing Code,Health Care
PBP,Provider Based Physician,Health Care
PCA,Physicians Comparability Allowance,Health Care
PCAS,Patient Care Algorithm,Health Care
PCCM,Primary Care Case Management,Health Care
PCCMP,Primary Care Case Management Provider,Health Care
PCD,Premium Conversion Date,Health Care
PCDB,Provider/Contractor Data Base,Health Care
PCE,Personal Care Expenditures,Health Care
PCH,Primary Care Hospital,Health Care
PCP,Primary Care Physician (or Provider),Health Care
PCPR,Provider Claims Processing Requirements,Health Care
PCRS,(Carrier) Performance Control Reporting System,Health Care
PCYA,Presidential Classroom for Young Americans,Health Care
PD,Physical Database,Health Care
PDA,Premium Due Amount,Health Care
PDBO,Public Disability Benefit Offset,Health Care
PDMA,Prescription Drug Marketing Act of 1988,Health Care
PDOTH,Prior Date of Termination of Hospital Insurance,Health Care
PDR,Physician's Desk Reference,Health Care
PDS,Peer (Review Organization) Data System,Health Care
PDT,Physical Design Team,Health Care
PEB,Performance Evaluation Board (contracts),Health Care
PEBES,(SSA) Personal Earnings & Benefit Estimate Statement,Health Care
PEBS,Personal Earnings & Benefit Statement,Health Care
PEBTAG,Provider Electronic Billing Technical Advisory Group,Health Care
PECOS,"Provider Enrollment, Chain & Ownership System",Health Care
PEP,Partial Episode Payment,Health Care
PEPP,Payment Error Prevention Program,Health Care
PEPPER,Post Entitlement Premium Payment & Enrollment Program (SSA),Health Care
PEW,PRO Efficiency Workgroup,Health Care
PFCRA,Program Fraud Civil Remedies Act,Health Care
PFF,Physician Fee Freeze,Health Care
PFFS,Private FeeForService Plan,Health Care
PH,Partial Hospitalization,Health Care
PHCE,Personal Health Care Expenditures,Health Care
PHCP,Prepaid Health Care Plan,Health Care
PHDDS,PRO Hospital Discharge Data Set,Health Care
PHEC,PostHospital Extended Care,Health Care
PHHH,PostHospital Home Health,Health Care
PHI,Personal Health Information,Health Care
PHI,Premium Hospital Insurance,Health Care
PHI,Protected Health Information,Health Care
PHIC,Partnership for Health Insurance Counseling,Health Care
PHIP,Pharmacist's Incentive Program,Health Care
PHOS,Post Hospital Outcome Study,Health Care
PHP,Partial Hospitalization Program,Health Care
PHP,Prepaid Health Plan,Health Care
PHPO,Prepaid Health Plan Option,Health Care
PHPO,Private Health Plan Option,Health Care
PHTP,Priority Health Training Programs,Health Care
PHY/SUP,Physician/Supplier,Health Care
PIA,Primary Insured Amount (MBR),Health Care
PIC,PRO Intermediary Carrier,Health Care
PICC,Peripherally-inserted central catheter,Health Care
PID,Payer Identification System,Health Care
PIDS,People or Individual with Disabilities (aka POIWD),Health Care
PIG,"Program Integrity Group, OFM, CMS",Health Care
PIHP,Prepaid Inpatient Health Plan,Health Care
PIMR,Program Integrity Management Reporting,Health Care
PIN,Physician Identification Number,Health Care
PIN,Primary Insured Number (MBR),Health Care
PIN,Provider Identification Number,Health Care
PIP,Physician Incentive Plan,Health Care
PIPC,Public Information Program Circular,Health Care
PIPDCG,Principal Inpatient Diagnostic Cost Group,Health Care
PIR,Periodic Interim Reimbursement,Health Care
PITS,PRO Information Tracking System,Health Care
PLAN,Protection for Long Term Assistance Needs,Health Care
PMC,Patient Management Categories,Health Care
PME,Partial Month Eligible (Medicaid),Health Care
PMMIS,Program Management & Medical Information System,Health Care
PO,Post Office,Health Care
POC,Patterns of Care,Health Care
POC,Plan of Care,Health Care
POCI,Physician Ownership/Compensation Interest,Health Care
POIWD,People or Individuals with Disabilities (aka PIDS),Health Care
POL,Physician Office Laboratories,Health Care
POR,Provider Overpayment Recovery,Health Care
POR,Provider Overpayment Report,Health Care
PORS,Provider Overpayment Recovery System,Health Care
PORS,Provider Overpayment Reporting System,Health Care
PORT,Patient Outcome Research Team (or Treatment),Health Care
PORTS,Patient Outcome Research Teams,Health Care
POS,Point of Service,Health Care
POS,Provider of Service(s) (System),Health Care
POT,Plan of Treatment,Health Care
PP,Prospective Payment,Health Care
PPA,Premium Paid Amount,Health Care
PPAC,Practicing Provider Advisory Council,Health Care
PPAC,Prospective Payment Assessment Commission,Health Care
PPC,Processing Payment Cycle,Health Care
PPG,Primary Care Physician Groups,Health Care
PPLS,Policy Planning Liaison Staff,Health Care
PPO,Preferred Provider Organization,Health Care
PPR,Physician Payment Reform,Health Care
PPR,Prospective Payment Review,Health Care
PPR IMI,Physician Payment Reform Impact Monitoring Initiative,Health Care
PPRC,Physician Payment Review Commission,Health Care
PPRMS,Physician Payment Review Monitoring System,Health Care
PPRTF,Physician Payment Reform Task Force,Health Care
PPS,Prepayment Screen,Health Care
PPS,Proposed Price Setting,Health Care
PPS,Prospective Payment System (Medicare Part A),Health Care
PPS,Prospective Pricing System,Health Care
PPSP,Physician's Primary Sponsor Plan,Health Care
PR,Peer Review,Health Care
PRA,Per Resident Amount,Health Care
PRA,Percent Reactive Antibody,Health Care
PRAF,Physician Reviewer Assignment Format,Health Care
PRES,Policy Review & Evaluation Staff,Health Care
PRICER,(PPS pricing software for inpatient stays system),Health Care
PRM,Provider Reimbursement Manual,Health Care
PRMDS,Provider Minimum Data Set,Health Care
PRO,Peer Review Organization (renamed to QIO),Health Care
PRO,Principal Regional Official,Health Care
PRO,Professional Review Organization,Health Care
PRO/FI,Professional Review Organization / Fiscal Intermediary,Health Care
PROM,Protocol for Regional Office Monitoring,Health Care
PROMPTS,Peer Review Organization Monitoring Protocol & Tracking System,Health Care
PROPAC,Prospective Payment Assessment Commission (Task Force),Health Care
PRP,Prospective Reimbursement Plan,Health Care
PRP,Provider Reimbursement Profile,Health Care
PRPD,Payment Reform Policy Development,Health Care
PRRB,Provider Reimbursement Review Board,Health Care
PRS,Prepayment Review System,Health Care
PRVSF,Provider Summary File,Health Care
PS,Physician Sequential,Health Care
PS&RR,Provider Statistical & Reimbursement Report,Health Care
PSAF,Physician/Supplier Action File,Health Care
PSC,Program Service Center (SSA) (formerly Payment Center (PC)),Health Care
PSF,Provider Specific File,Health Care
PSGH,Policy Standards & Guidelines Handbook,Health Care
PSM,Physician Summary Master,Health Care
PSO,Physician Security Officer,Health Care
PSOR,Physician & Supplier Overpayment Report,Health Care
PSOR,Physician Supplier Overpayment Recovery,Health Care
PSOR,Provider Statistical & Overpayment Report,Health Care
PSP,Provider/Supplier Service Plan,Health Care
PSPRICE,Physician Fee Schedule System,Health Care
PSR,Provider Statistics & Reimbursement Report (aka PS&R),Health Care
PSR,Provider Summary Report,Health Care
PSRB,Performance Standards Review Board,Health Care
PSRO,Performance Standards Review Organization,Health Care
PSRO,Physician Service Review Organization,Health Care
PSRS,Provider Statistical & Reimbursement System,Health Care
PTA,Part A (of Medicare),Health Care
PTA,Percutaneous Transluminal Angioplasty,Health Care
PTA,Prior To Admission,Health Care
PTAC,Premium Target Advisory Commission,Health Care
PTAMUS,Part A Medicare Utilization System,Health Care
PTAPTT,Part A Processing Times Tabulation,Health Care
PTB,Part B (of Medicare),Health Care
PTS,Provider Terminal System,Health Care
PU/ME/DE,Public Use / Medical Effectiveness / Demonstration & Evaluation,Health Care
PUDI,Prior Unqualifing Disabled Indicator (also RISI),Health Care
PUP,Provider Update Operation,Health Care
PVB,Provider Bills,Health Care
PWD,Persons With Disabilities,Health Care
Q&A,Questions & Answers,Health Care
QAHB,(Carrier) Quality Assurance Program Handbook,Health Care
QDWI,Qualified Disabled & Working Individual (aka QWDI),Health Care
QI,Quality Indicator,Health Care
QIO,Quality Improvement Organization,Health Care
QMB,"Qualified Medicare Beneficiary (OBRA 1989 PL101239,Sect.6013)",Health Care
QMRP,Qualified Mental Retardation Professional,Health Care
QWDI,Qualified Working Disabled Individual (aka QDWI),Health Care
RA,Regional Administrator,Health Care
RA,Risk Assessment,Health Care
RAC,Reimbursement Advisory Committee,Health Care
RAD,Respiratory Assist Device,Health Care
RADARS,(HCFA) Ranking & Data Analysis Reporting System,Health Care
RAP,Request for Accelerated Payment,Health Care
RAP,Request for Anticipated Payment,Health Care
RAPS,Resident Assessment Protocol System,Health Care
RASC,"Regional Administrative Support Center, HHS",Health Care
RC,Reasonable Charge (or Cost),Health Care
RC,Regional Carrier,Health Care
RCC,Ratio of Cost to Charges,Health Care
RCCAC,Ratio of Charges to Charges Applied to Costs,Health Care
RCT,Randomized Clinical Trials,Health Care
RCT,Registered Care Technologist,Health Care
RDF,Renal Dialysis Facility,Health Care
RE,(Carrier) Reasonable Expectancies (or Expectations),Health Care
REBUS,Renal Beneficiary & Utilization System,Health Care
RECOUP,Recovery of Unpaid Premiums (MBR),Health Care
REMAS,Report on Medicare as Secondary Payor System,Health Care
REMIS,Renal Management Information System,Health Care
RH,Rural Hospital,Health Care
RHC,Rural Health Center,Health Care
RHC,Rural Health Claim,Health Care
RHC,Rural Health Clinic,Health Care
RHHI,Regional Home Health Intermediary,Health Care
RHHIPEP,Regional Home Health Intermediary Performance Evaluation Program,Health Care
RHIR,Resident Health Insurance Representative,Health Care
RHP,Rebundling of Hospital Payment,Health Care
RI,Regional Intermediary,Health Care
RISI,Renal Insured Status Indicator (also PUDI),Health Care
RMA,Refugee Medical Assistance,Health Care
RMAPS,Rocky Mountain Part A Processing System,Health Care
RMFA,Restricted Medicare Fraud Alert,Health Care
RMRP,Regional Medical Review Policy,Health Care
RN,Registered Nurse,Health Care
RNHCI,Religious NonMedical Health Care Institution,Health Care
RO,Regional Office,Health Care
ROAM,ROAR Master (SSA),Health Care
ROAMS,Regional Office Appeals Management System,Health Care
ROAR,Recovery of Overpayments Accounting & Reporting System (SSA),Health Care
ROAR,Regional Office Automating Representatives for Managed Care Operations (ROAR for MCO),Health Care
ROCL,Regional Office Contractor Letter,Health Care
ROF,Regional Office Flag,Health Care
ROM,Regional Office Manual,Health Care
ROMGRS,Regional Office Managers,Health Care
ROPES,Regional Office Performance Evaluation System,Health Care
ROPO,Regional Office Project Officer,Health Care
ROSTAR,Regional Office System Tracking for Audit Reimbursement,Health Care
ROUG,Regional Office Users Group,Health Care
RPA,Renal Physicians Association,Health Care
RPBC,Rejected Provider Bill Control (Process),Health Care
RPCH,Regional Primary Care Hospital,Health Care
RPCH,Rural Primary Care Hospital,Health Care
RPO,Regional Personnel Officer,Health Care
RRB,Railroad Retirement Board,Health Care
RRC,Rural Referral Center,Health Care
RSDHI,"Retirement, Survivors, Disability, & Health Insurance",Health Care
RSDI,"Retirement, Survivors, & Disability Insurance",Health Care
RSF,Renal Services Facility,Health Care
RSI,Retirement & Survivors Insurance,Health Care
RSVP,Retired Senior Volunteer Project,Health Care
RT,Respiratory Therapy,Health Care
RTI,Return to Intermediary,Health Care
RTP,Return To Provider (or Plan),Health Care
RUNT,RRB Universal RIC,Health Care
S/HMO,Social Health Maintenance Organization,Health Care
SA,Scheduled Allowance,Health Care
SA,State Agency,Health Care
SACP,(AHA) Society for Ambulatory Care Professionals,Health Care
SAD,Service Area Directory (SSA),Health Care
SADMERC,Statistical Analysis Durable Medical Equipment Regional Carrier,Health Care
SAEP,State Agency Evaluation Plan,Health Care
SAHD,Staff Assisted Home Dialysis,Health Care
SALT,Suspensions & Life Terminations System (MBR),Health Care
SAMHSA,Supstance Abuse & Mental Health Services Administration,Health Care
SBC,School Based Clinics,Health Care
SBI,State Buy In,Health Care
SBIGPPP,State BuyIn Group Practice Prepayment Plan,Health Care
SBRS,Senior Biomedical Research Service,Health Care
SCACA,Seniors Coalition Against Catastrophic Act,Health Care
SCH,Sole Community Hospital,Health Care
SCHIP,State Child Health Insurance Program,Health Care
SCIC,Significant Change In Condition,Health Care
SCORE,Service Corps of Retired Executives,Health Care
SDO,Servicing District Office (SSA),Health Care
SDP,Single Drug Pricer,Health Care
SEER,"Surveillance, Epidemiology & End Results (Program)",Health Care
SELF,(HHS) Secretary's Executive Leadership Forum,Health Care
SEP,Special Enrollment Period,Health Care
SEPSC,"Southeastern Program Service Center, SSA",Health Care
SF-36,Medical Outcomes Study 36 Item Short Form Health Survey,Health Care
SFRO,SanFrancisco Regional Office,Health Care
SG,Surgeon General,Health Care
SGA,Substantial Gainful Activity,Health Care
SHC,Select Health Care,Health Care
SHCC,State Health Coordinating Council,Health Care
SHI,Supplemental Health Insurance,Health Care
SHINE,Serving Health Information Needs of Elders,Health Care
SHIP,(AFGE) Supplemental Health Insurance Plan,Health Care
SHIP,(Medicare) Supplemental Health Insurance Programs,Health Care
SHIP,Senior Health Insurance Program,Health Care
SHIP,State Health Insurance Assistance Program,Health Care
SHN,State Health Notes,Health Care
SHPDA,State Health Planning & Development Agency,Health Care
SHS,Society for Health Systems,Health Care
SI,Single Intermediary,Health Care
SIC,State Insurance Commission,Health Care
SICE,Social Insurance Claims Examiner,Health Care
SIR,(Carrier) System Improvement Request,Health Care
SLIMB,Specified LowIncome Medicare Beneficiary,Health Care
SLIP-A,Supplemental Low Income Patient Adjustment,Health Care
SLMB,(see SLIMB),Health Care
SLMB,Specified Low-income Medicare Beneficiary,Health Care
SMART,System for MSP Automated Recovery & Tracking,Health Care
SMDA,State Medicaid Directors Association,Health Care
SMG,State Medicaid Group,Health Care
SMI,Standardized Medreview Instrument,Health Care
SMI,Supplementary Medical Insurance (Part B of Medicare),Health Care
SMIB,Supplementary Medical Insurance (also Part B),Health Care
SMM,State Medicaid Manual,Health Care
SMQC,System for Monitoring Quality of Care,Health Care
SMRF,State Medicaid Research Files (aka SMURF),Health Care
SMURF,State Medicaid Uniform Research File (aka SMRF),Health Care
SNC,Skilled Nursing Care,Health Care
SNCRIS,Skilled Nursing Cost Reporting Information System,Health Care
SNCT,Sensory Nerve Conduction Threshold,Health Care
SNF,Skilled Nursing Facility,Health Care
SNFMDS,SNF Minimum Data Set,Health Care
SNIP,Strategic National Implementation Process,Health Care
SOB,Shortness of breath,Health Care
SOB,Statement of Benefits,Health Care
SOCO,Southeastern Consortium (Atlanta & Dallas HIROs),Health Care
SOP,Status of Provider,Health Care
SOR,(Carrier) Section Operating Report,Health Care
SPECTRUM,State Performance Evaluation & Comprehensive Test of Reimbursement Under Medicaid,Health Care
SS,Social Security,Health Care
SSA,Social Security Act,Health Care
SSA,Social Security Administration,Health Care
SSA,State Survey Agency,Health Care
SSACCS,SSA Claims Control System,Health Care
SSARA,SSA Reform Act of 1994 (establishes SSA as independent agency),Health Care
SSB,Social Security Board (now SSA),Health Care
SSDI,Social Security Disability Insurance,Health Care
SSH,Short Stay Hospital,Health Care
SSI,Supplemental Security Income,Health Care
SSIPML,Second State Issuing Professional Medical License,Health Care
SSN,Social Security Number,Health Care
SSO,Social Security Office (also DO),Health Care
SSOP,Second Surgical Opinion Program,Health Care
SSP,State Supplemental Payments,Health Care
SSPML,Second State Professional Medical License,Health Care
SSR,Social Security Rulings,Health Care
STAR,(Medicaid) Systems Test for Alternative Reimbursement,Health Care
STD,ShortTerm Disability,Health Care
SUBC,State Uniform Billing Committee,Health Care
SVES,State Verification & Exchange System (SSA),Health Care
T1,Title I of the Social Security Act (Grants for OldAge Assistance & Medical Assistance for Aged),Health Care
T10,Title X of the Social Security Act (Aid to the Blind),Health Care
T14,Title XIV of the Social Security Act (Grants to States for Aid to the Disabled,Health Care
T16,Title XVI of the Social Security Act (SSI),Health Care
T18,Title XVIII of the Social Security Act (Medicare),Health Care
T19,Title XIX of the Social Security Act (MAA (Medicaid)),Health Care
T2,Title II of the Social Security Act (SS benefits),Health Care
T2R,Title II Redesign (SSA),Health Care
T4,Title IV of the Social Security Act (AFDC),Health Care
TA,Technology Assessment,Health Care
TAP,Terminal Acquisition Project (SSA),Health Care
TBD,To Be Determined,Health Care
TDD,Telecommunications Device for the Deaf,Health Care
TDOC,Total Days of Care,Health Care
TEDH,Third Party Entitlement Date for Hospital Insurance,Health Care
TEDS,Third Party Entitlement Date for Supplementary Medical Insurance,Health Care
TENS,Transcutaneous Electrical Nerve Stimulation,Health Care
TH,Teaching Hospital,Health Care
THD,Total Hospice Days,Health Care
THE,"Trailblazers Health Enterprises, Inc. (MD component of TX BC/BS)",Health Care
TIPPS,Test of Intermediary Prospective Payment System,Health Care
TITLE I,Grants to States for old age assistance & medical assistance for the aged,Health Care
TITLE II,"Federal old age, survivors & disability insurance benefits (OASDI)",Health Care
TITLE IV,Grants to States for aid & services to needy famlies with children (AFDC),Health Care
TITLE X,Grants to States for aid to the blind (AB),Health Care
TITLE XIV,Grants to States for aid to the permanently & totally disabled (DI),Health Care
TITLE XIX,Grants to States for medical assistance programs (MAA)(Medicaid),Health Care
TITLE XVI,"Grants to States for aid to the aged, blind and disabled (ABD) & Supplemental Security Income (SSI)",Health Care
TITLE XVIII,Health Insurance (Medicare),Health Care
TITLE XX,State operated home health care entitlement program,Health Care
TITLE XXI,State Child Health Programs,Health Care
TMR,Transmyocardial Revascularization,Health Care
TNHP,Teaching Nursing Home Program,Health Care
TOP,Type of Provider,Health Care
TOPS,Transitional Outpatient Payments System,Health Care
TOS,Type of Service,Health Care
TP,Third Party,Health Care
TPA,Third Party Administrator,Health Care
TPA,Tissue Plasminogen Activator,Health Care
TPAO,Third Party Annotation Operation,Health Care
TPBEST,Third Party Billing Extract Statistical Totals,Health Care
TPBLAST,Third Party BuyIn Liability Accretions for Screening & Taping,Health Care
TPCH,Third Party Code for Hospital Insurance,Health Care
TPCS,Third Party Code for Supplementary Medical Insurance,Health Care
TPDB,Third Party Data Base,Health Care
TPEXLAX,"Third Party Expel Lapsed, Antiquated & XR Records",Health Care
TPF,Third Party File,Health Care
TPG,Third Party Groups,Health Care
TPL,Third Party Liability,Health Care
TPLAB,Third Party List Agency Billing,Health Care
TPM,Third Party Master,Health Care
TPO,"Treatment, Payment, Operations",Health Care
TPPAYD,Third Party Payment Data,Health Care
TPPC,Third Party Premium Collection,Health Care
TPPG,Third Party Private Group,Health Care
TPQY,Third Party Query System,Health Care
TPR,Third Party Record,Health Care
TPRP,Third Party Rules Processor,Health Care
TRACE,Third Party Recovery Audit Coordinated Effort,Health Care
TRPBETA,Third Party BuyIn Exceptions for TP Agencies,Health Care
TSG,The Surgeon General,Health Care
TTDH,Third Party Termination Date for Hospital Insurance,Health Care
TTDS,Third Party Termination Date for Supplementary Medical Insurance,Health Care
TTY,Text Telephones,Health Care
TWWIA,Ticket to Work & Work Incentives Act of 1999,Health Care
UAMCDS,Uniform Ambulatory Medical Care Data Set,Health Care
UHCIA,Uniform Health Care Information Act,Health Care
UHDDS,Uniform Hospital Discharge Data Set,Health Care
UHIN,Utah Health Information Network,Health Care
UHIS,Unbundling of Hospital Inpatient Services,Health Care
UHP,Unbundling of Hospital Payment,Health Care
UHP,United Health Plan,Health Care
UL,Underwriters Laboratory,Health Care
UMO,Utilization Management Organization,Health Care
UMW,United Mine Workers,Health Care
UNCEFACT,"United Nations Centre for Facilitation of Procedures and Practices for Administration, Commerce, and Transport",Health Care
UNEDIFACT,"United Nations Rules for Electronic Data Interchange for Administration, Commerce, and Transport",Health Care
UNIBILL,Uniform Bill (Intermediary Submitted Files of Processed Medicare Provider Bills),Health Care
UPIN,Unique Physician Identification Number,Health Care
UPL,(Medicaid) Upper Payment Limit,Health Care
UPS,United Parcel Service,Health Care
URC,(Intermediary) Utilization Review Coordinator,Health Care
URO,Utilization Review Organization,Health Care
USPS,United States Postal Service,Health Care
USRDS,United States Renal Data System,Health Care
VAD,Ventricular Assist Device,Health Care
VADATS,Veterans Administration Data Automatic Transmission System,Health Care
VICP,Vaccine Injury Compensation Program,Health Care
VIP,Voucher Insurance Plan,Health Care
VISION,Vital Information System to Improve Outcomes in Nephrology,Health Care
VMS,Viable Medicare Systems,Health Care
VMS,VIPS (Viable Information Processing Systems) Medicare System,Health Care
VMS,VIPS Medicare System,Health Care
VNA,Visiting Nurses Association,Health Care
VPAC,Variable Premium Amount Collectable,Health Care
VPN,Virtual Private Network,Health Care
VRA,Veteran's Readjustment Appointment,Health Care
VRU,Ventilator Rehabilitation Unit,Health Care
WA,Working Aged,Health Care
WAR,Working Aged Recovery,Health Care
WECO,"Western Consortium (Denver, San Francisco & Seattle HIROs)",Health Care
WHCOA,White House Conference on Aging,Health Care
WHCRA,Women's Health & Cancer Rights Act of 1998,Health Care
WHO,World Health Organization,Health Care
WIC,"Women, Infant & Children Program, DOA",Health Care
WNPSC,"Western Program Service Center, SSA",Health Care
WOCN,Wound Ostomy Continence Nurses,Health Care
WPC,Washington Publishing Company,Health Care
XA,Extended Architecture Operation System (SSA),Health Care
XIV,Title 14 Grants to States for Aid to the Permanently & Totally Disabled,Health Care
XIX,Title 19 Grants to States for Medical Assistance Programs (MAA),Health Care
XIXED,Title 19 Entitlement Date,Health Care
XVI,"Title 16 Grants to States for Aid to the Aged, Blind or Disabled or Aid & Medical Assistance for the",Health Care
XVIII,Title 18 Medicare,Health Care
XX,Title 20 State operated home health care entitlement program,Health Care
XXI,Title 21 State Child Health Program,Health Care
Y2K,Year 2000,Health Care
YOB,Year of Birth,Health Care
YR,Year,Health Care
YTD,YearToDate,Health Care
YYYY,"Year (i.e., mmddyyyy)",Health Care
ZIP+4,9 digit ZIP Code Plan,Health Care
